,address,balance,current_balance,perc_remains,ens
56,0xf4ed848ec961739c2c7e352f435ba70a7cd5db38,1970.0,0.003176961467232008,0.00016126707955492427,
57,0x82485728d0e281563758c75ab27ed9e882a0002d,147.0,22.3754848,15.221418231292516,
58,0x427ec668ac9404e895cc861511d1620a4912be98,40000.0,0.0,0.0,
59,0x1bbc199e586790be87afedc849c04726745c5d7b,4000.0,1.8e-05,4.5e-07,
60,0x10d945334ecde47beb9ca3816c173dfbbd0b5333,1400.0,0.009238320489077335,0.0006598800349340954,
61,0x1dcebcb7656df5dcaa3368a055d22f9ed6cdd940,499.8,5.5e-08,1.1004401760704282e-08,
62,0x2ac1f8d7bf721f3cfe74d20fea9b87a28aaa982c,161.0,0.0,0.0,
63,0x0a47ad9059a249fc936b2662353da6905f75c2b9,2000.0,0.0,0.0,
64,0x768498934e37e905f1d0e77b44b574bcf3ec4ae8,20000.0,0.9493586409781546,0.004746793204890773,
65,0xf46b6b9c7cb552829c1d3dfd8ffb11aabae782f6,21.0,0.0,0.0,
66,0x7aea25d42b2612286e99c53697c6bc4100e2dbbf,2000.0,0.0,0.0,
67,0xaf3615c789d0b1152ad4db25fe5dcf222804cf62,1000.0,0.00058,5.7999999999999994e-05,
68,0x92e6581e1da1f9b846e09347333dc818e2d2ac66,3640.0,0.0,0.0,
69,0x240305727313d01e73542c775ff59d11cd35f819,5931.229,0.0,0.0,
70,0xb95cfda8465ba9c2661b249fc3ab661bdfa35ff0,318.94899999999996,0.028342731,0.008886289344064413,
71,0x1b0d076817e8d68ee2df4e1da1c1142d198c4435,1550.0,0.03935864097815467,0.002539267159880946,
72,0x93c2e64e5de5589ed25006e843196ee9b1cf0b3e,1670.0,0.0,0.0,
73,0x0e2e504a2d1122b5a9feee5cb1451bf4c2ace87b,3940.0,0.007354,0.0001866497461928934,
74,0x22b96ab2cad55db100b53001f9e4db378104c807,10000.0,0.0,0.0,
75,0xa927d48bb6cb814bc609cbcaa9151f5d459a27e1,271.6,0.04874,0.01794550810014727,
76,0x5cbd8daf27ddf704cdd0d909a789ba36ed4f37b2,13.4,13.4,100.0,
77,0x9adbd3bc7b0afc05d1d2eda49ff863939c48db46,199.955,0.000118,5.901327798754719e-05,
78,0xac7e03702723cb16ee27e22dd0b815dc2d5cae9f,16000.0,31.958863228889076,0.19974289518055674,
79,0x1e210e7047886daa52aaf70f4b991dac68e3025e,200.0,0.0,0.0,
80,0xc98048687f2bfcc9bd90ed18736c57edd352b65d,1000.0,1000.0,100.0,
